auction_date,security_type,security_term,tenor_group
2009-02-25,Note,5-Year,5Y
2009-03-11,Note,9-Year 11-Month,10Y
2009-03-12,Bond,29-Year 11-Month,30Y
2009-03-25,Note,5-Year,5Y
2009-04-09,Note,9-Year 10-Month,10Y
2009-04-28,Note,5-Year,5Y
2009-05-06,Note,10-Year,10Y
2009-05-07,Bond,30-Year,30Y
2009-05-27,Note,5-Year,5Y
2009-06-10,Note,9-Year 11-Month,10Y
2009-06-11,Bond,29-Year 11-Month,30Y
2009-06-24,Note,5-Year,5Y
2009-07-08,Note,9-Year 10-Month,10Y
2009-07-09,Bond,29-Year 10-Month,30Y
2009-07-29,Note,5-Year,5Y
2009-08-12,Note,10-Year,10Y
2009-08-13,Bond,30-Year,30Y
2009-08-26,Note,5-Year,5Y
2009-09-09,Note,9-Year 11-Month,10Y
2009-09-10,Bond,29-Year 11-Month,30Y
2009-09-23,Note,5-Year,5Y
2009-10-07,Note,9-Year 10-Month,10Y
2009-10-08,Bond,29-Year 10-Month,30Y
2009-10-28,Note,5-Year,5Y
2009-11-10,Note,10-Year,10Y
2009-11-12,Bond,30-Year,30Y
2009-11-24,Note,5-Year,5Y
2009-12-09,Note,9-Year 11-Month,10Y
2009-12-10,Bond,29-Year 11-Month,30Y
2009-12-29,Note,5-Year,5Y
2010-01-13,Note,9-Year 10-Month,10Y
2010-01-14,Bond,29-Year 10-Month,30Y
2010-01-27,Note,5-Year,5Y
2010-02-10,Note,10-Year,10Y
2010-02-11,Bond,30-Year,30Y
2010-02-24,Note,5-Year,5Y
2010-03-10,Note,9-Year 11-Month,10Y
2010-03-11,Bond,29-Year 11-Month,30Y
2010-03-24,Note,5-Year,5Y
2010-04-07,Note,9-Year 10-Month,10Y
2010-04-08,Bond,29-Year 10-Month,30Y
2010-04-28,Note,5-Year,5Y
2010-05-12,Note,10-Year,10Y
2010-05-13,Bond,30-Year,30Y
2010-05-26,Note,5-Year,5Y
2010-06-09,Note,9-Year 11-Month,10Y
2010-06-10,Bond,29-Year 11-Month,30Y
2010-06-23,Note,5-Year,5Y
2010-07-13,Note,9-Year 10-Month,10Y
2010-07-14,Bond,29-Year 10-Month,30Y
2010-07-28,Note,5-Year,5Y
2010-08-11,Note,10-Year,10Y
2010-08-12,Bond,30-Year,30Y
2010-08-25,Note,5-Year,5Y
2010-09-08,Note,9-Year 11-Month,10Y
2010-09-09,Bond,29-Year 11-Month,30Y
2010-09-28,Note,5-Year,5Y
2010-10-13,Note,9-Year 10-Month,10Y
2010-10-14,Bond,29-Year 10-Month,30Y
2010-10-27,Note,5-Year,5Y
2010-11-09,Note,10-Year,10Y
2010-11-10,Bond,30-Year,30Y
2010-11-23,Note,5-Year,5Y
2010-12-08,Note,9-Year 11-Month,10Y
2010-12-09,Bond,29-Year 11-Month,30Y
2010-12-28,Note,5-Year,5Y
2011-01-12,Note,9-Year 10-Month,10Y
2011-01-13,Bond,29-Year 10-Month,30Y
2011-01-26,Note,5-Year,5Y
2011-02-09,Note,10-Year,10Y
2011-02-10,Bond,30-Year,30Y
2011-02-23,Note,5-Year,5Y
2011-03-09,Note,9-Year 11-Month,10Y
2011-03-10,Bond,29-Year 11-Month,30Y
2011-03-29,Note,5-Year,5Y
2011-04-13,Note,9-Year 10-Month,10Y
2011-04-14,Bond,29-Year 10-Month,30Y
2011-04-27,Note,5-Year,5Y
2011-05-11,Note,10-Year,10Y
2011-05-12,Bond,30-Year,30Y
2011-05-25,Note,5-Year,5Y
2011-06-08,Note,9-Year 11-Month,10Y
2011-06-09,Bond,29-Year 11-Month,30Y
2011-06-28,Note,5-Year,5Y
2011-07-13,Note,9-Year 10-Month,10Y
2011-07-14,Bond,29-Year 10-Month,30Y
2011-07-27,Note,5-Year,5Y
2011-08-10,Note,10-Year,10Y
2011-08-11,Bond,30-Year,30Y
2011-08-24,Note,5-Year,5Y
2011-09-13,Note,9-Year 11-Month,10Y
2011-09-14,Bond,29-Year 11-Month,30Y
2011-09-28,Note,5-Year,5Y
2011-10-12,Note,9-Year 10-Month,10Y
2011-10-13,Bond,29-Year 10-Month,30Y
2011-10-26,Note,5-Year,5Y
2011-11-09,Note,10-Year,10Y
2011-11-10,Bond,30-Year,30Y
2011-11-22,Note,5-Year,5Y
2011-12-13,Note,9-Year 11-Month,10Y
2011-12-14,Bond,29-Year 11-Month,30Y
2011-12-20,Note,5-Year,5Y
2012-01-11,Note,9-Year 10-Month,10Y
2012-01-12,Bond,29-Year 10-Month,30Y
2012-01-25,Note,5-Year,5Y
2012-02-08,Note,10-Year,10Y
2012-02-09,Bond,30-Year,30Y
2012-02-22,Note,5-Year,5Y
2012-03-13,Note,9-Year 11-Month,10Y
2012-03-14,Bond,29-Year 11-Month,30Y
2012-03-28,Note,5-Year,5Y
2012-04-11,Note,9-Year 10-Month,10Y
2012-04-12,Bond,29-Year 10-Month,30Y
2012-04-25,Note,5-Year,5Y
2012-05-09,Note,10-Year,10Y
2012-05-10,Bond,30-Year,30Y
2012-05-23,Note,5-Year,5Y
2012-06-13,Note,9-Year 11-Month,10Y
2012-06-14,Bond,29-Year 11-Month,30Y
2012-06-27,Note,5-Year,5Y
2012-07-11,Note,9-Year 10-Month,10Y
2012-07-12,Bond,29-Year 10-Month,30Y
2012-07-25,Note,5-Year,5Y
2012-08-08,Note,10-Year,10Y
2012-08-09,Bond,30-Year,30Y
2012-08-29,Note,5-Year,5Y
2012-09-12,Note,9-Year 11-Month,10Y
2012-09-13,Bond,29-Year 11-Month,30Y
2012-09-26,Note,5-Year,5Y
2012-10-10,Note,9-Year 10-Month,10Y
2012-10-11,Bond,29-Year 10-Month,30Y
2012-10-24,Note,5-Year,5Y
2012-11-07,Note,10-Year,10Y
2012-11-08,Bond,30-Year,30Y
2012-11-28,Note,5-Year,5Y
2012-12-12,Note,9-Year 11-Month,10Y
2012-12-13,Bond,29-Year 11-Month,30Y
2012-12-18,Note,5-Year,5Y
2013-01-09,Note,9-Year 10-Month,10Y
2013-01-10,Bond,29-Year 10-Month,30Y
2013-01-29,Note,5-Year,5Y
2013-02-13,Note,10-Year,10Y
2013-02-14,Bond,30-Year,30Y
2013-02-26,Note,5-Year,5Y
2013-03-13,Note,9-Year 11-Month,10Y
2013-03-14,Bond,29-Year 11-Month,30Y
2013-03-27,Note,5-Year,5Y
2013-04-10,Note,9-Year 10-Month,10Y
2013-04-11,Bond,29-Year 10-Month,30Y
2013-04-24,Note,5-Year,5Y
2013-05-08,Note,10-Year,10Y
2013-05-09,Bond,30-Year,30Y
2013-05-29,Note,5-Year,5Y
2013-06-12,Note,9-Year 11-Month,10Y
2013-06-13,Bond,29-Year 11-Month,30Y
2013-06-26,Note,5-Year,5Y
2013-07-10,Note,9-Year 10-Month,10Y
2013-07-11,Bond,29-Year 10-Month,30Y
2013-07-24,Note,5-Year,5Y
2013-08-07,Note,10-Year,10Y
2013-08-08,Bond,30-Year,30Y
2013-08-28,Note,5-Year,5Y
2013-09-11,Note,9-Year 11-Month,10Y
2013-09-12,Bond,29-Year 11-Month,30Y
2013-09-25,Note,5-Year,5Y
2013-10-09,Note,9-Year 10-Month,10Y
2013-10-10,Bond,29-Year 10-Month,30Y
2013-10-29,Note,5-Year,5Y
2013-11-13,Note,10-Year,10Y
2013-11-14,Bond,30-Year,30Y
2013-11-26,Note,5-Year,5Y
2013-12-11,Note,9-Year 11-Month,10Y
2013-12-12,Bond,29-Year 11-Month,30Y
2013-12-18,Note,5-Year,5Y
2014-01-08,Note,9-Year 10-Month,10Y
2014-01-09,Bond,29-Year 10-Month,30Y
2014-01-30,Note,5-Year,5Y
2014-02-12,Note,10-Year,10Y
2014-02-13,Bond,30-Year,30Y
2014-02-26,Note,5-Year,5Y
2014-03-12,Note,9-Year 11-Month,10Y
2014-03-13,Bond,29-Year 11-Month,30Y
2014-03-26,Note,5-Year,5Y
2014-04-09,Note,9-Year 10-Month,10Y
2014-04-10,Bond,29-Year 10-Month,30Y
2014-04-23,Note,5-Year,5Y
2014-05-07,Note,10-Year,10Y
2014-05-08,Bond,30-Year,30Y
2014-05-28,Note,5-Year,5Y
2014-06-11,Note,9-Year 11-Month,10Y
2014-06-12,Bond,29-Year 11-Month,30Y
2014-06-25,Note,5-Year,5Y
2014-07-09,Note,9-Year 10-Month,10Y
2014-07-10,Bond,29-Year 10-Month,30Y
2014-07-29,Note,5-Year,5Y
2014-08-13,Note,10-Year,10Y
2014-08-14,Bond,30-Year,30Y
2014-08-27,Note,5-Year,5Y
2014-09-10,Note,9-Year 11-Month,10Y
2014-09-11,Bond,29-Year 11-Month,30Y
2014-09-24,Note,5-Year,5Y
2014-10-08,Note,9-Year 10-Month,10Y
2014-10-09,Bond,29-Year 10-Month,30Y
2014-10-29,Note,5-Year,5Y
2014-11-12,Note,10-Year,10Y
2014-11-13,Bond,30-Year,30Y
2014-11-25,Note,5-Year,5Y
2014-12-10,Note,9-Year 11-Month,10Y
2014-12-11,Bond,29-Year 11-Month,30Y
2014-12-23,Note,5-Year,5Y
2015-01-13,Note,9-Year 10-Month,10Y
2015-01-14,Bond,29-Year 10-Month,30Y
2015-01-29,Note,5-Year,5Y
2015-02-11,Note,10-Year,10Y
2015-02-12,Bond,30-Year,30Y
2015-02-25,Note,5-Year,5Y
2015-03-11,Note,9-Year 11-Month,10Y
2015-03-12,Bond,29-Year 11-Month,30Y
2015-03-25,Note,5-Year,5Y
2015-04-08,Note,9-Year 10-Month,10Y
2015-04-09,Bond,29-Year 10-Month,30Y
2015-04-28,Note,5-Year,5Y
2015-05-13,Note,10-Year,10Y
2015-05-14,Bond,30-Year,30Y
2015-05-27,Note,5-Year,5Y
2015-06-10,Note,9-Year 11-Month,10Y
2015-06-11,Bond,29-Year 11-Month,30Y
2015-06-24,Note,5-Year,5Y
2015-07-08,Note,9-Year 10-Month,10Y
2015-07-09,Bond,29-Year 10-Month,30Y
2015-07-29,Note,5-Year,5Y
2015-08-12,Note,10-Year,10Y
2015-08-13,Bond,30-Year,30Y
2015-08-26,Note,5-Year,5Y
2015-09-09,Note,9-Year 11-Month,10Y
2015-09-10,Bond,29-Year 11-Month,30Y
2015-09-23,Note,5-Year,5Y
2015-10-07,Note,9-Year 10-Month,10Y
2015-10-08,Bond,29-Year 10-Month,30Y
2015-10-28,Note,5-Year,5Y
2015-11-10,Note,10-Year,10Y
2015-11-12,Bond,30-Year,30Y
2015-11-24,Note,5-Year,5Y
2015-12-09,Note,9-Year 11-Month,10Y
2015-12-10,Bond,29-Year 11-Month,30Y
2015-12-29,Note,5-Year,5Y
2016-01-13,Note,9-Year 10-Month,10Y
2016-01-14,Bond,29-Year 10-Month,30Y
2016-01-27,Note,5-Year,5Y
2016-02-10,Note,10-Year,10Y
2016-02-11,Bond,30-Year,30Y
2016-02-24,Note,5-Year,5Y
2016-03-09,Note,9-Year 11-Month,10Y
2016-03-10,Bond,29-Year 11-Month,30Y
2016-03-29,Note,5-Year,5Y
2016-04-13,Note,9-Year 10-Month,10Y
2016-04-14,Bond,29-Year 10-Month,30Y
2016-04-26,Note,5-Year,5Y
2016-05-11,Note,10-Year,10Y
2016-05-12,Bond,30-Year,30Y
2016-05-25,Note,5-Year,5Y
2016-06-08,Note,9-Year 11-Month,10Y
2016-06-09,Bond,29-Year 11-Month,30Y
2016-06-21,Note,5-Year,5Y
2016-07-12,Note,9-Year 10-Month,10Y
2016-07-13,Bond,29-Year 10-Month,30Y
2016-07-26,Note,5-Year,5Y
2016-08-10,Note,10-Year,10Y
2016-08-11,Bond,30-Year,30Y
2016-08-24,Note,5-Year,5Y
2016-09-12,Note,9-Year 11-Month,10Y
2016-09-13,Bond,29-Year 11-Month,30Y
2016-09-27,Note,5-Year,5Y
2016-10-12,Note,9-Year 10-Month,10Y
2016-10-13,Bond,29-Year 10-Month,30Y
2016-10-26,Note,5-Year,5Y
2016-11-09,Note,10-Year,10Y
2016-11-10,Bond,30-Year,30Y
2016-11-22,Note,5-Year,5Y
2016-12-12,Note,9-Year 11-Month,10Y
2016-12-13,Bond,29-Year 11-Month,30Y
2016-12-28,Note,5-Year,5Y
2017-01-11,Note,9-Year 10-Month,10Y
2017-01-12,Bond,29-Year 10-Month,30Y
2017-01-25,Note,5-Year,5Y
2017-02-08,Note,10-Year,10Y
2017-02-09,Bond,30-Year,30Y
2017-02-22,Note,5-Year,5Y
2017-03-08,Note,9-Year 11-Month,10Y
2017-03-09,Bond,29-Year 11-Month,30Y
2017-03-28,Note,5-Year,5Y
2017-04-11,Note,9-Year 10-Month,10Y
2017-04-12,Bond,29-Year 10-Month,30Y
2017-04-26,Note,5-Year,5Y
2017-05-10,Note,10-Year,10Y
2017-05-11,Bond,30-Year,30Y
2017-05-24,Note,5-Year,5Y
2017-06-12,Note,9-Year 11-Month,10Y
2017-06-13,Bond,29-Year 11-Month,30Y
2017-06-27,Note,5-Year,5Y
2017-07-12,Note,9-Year 10-Month,10Y
2017-07-13,Bond,29-Year 10-Month,30Y
2017-07-26,Note,5-Year,5Y
2017-08-09,Note,10-Year,10Y
2017-08-10,Bond,30-Year,30Y
2017-08-28,Note,5-Year,5Y
2017-09-12,Note,9-Year 11-Month,10Y
2017-09-13,Bond,29-Year 11-Month,30Y
2017-09-27,Note,5-Year,5Y
2017-10-11,Note,9-Year 10-Month,10Y
2017-10-12,Bond,29-Year 10-Month,30Y
2017-10-25,Note,5-Year,5Y
2017-11-08,Note,10-Year,10Y
2017-11-09,Bond,30-Year,30Y
2017-11-27,Note,5-Year,5Y
2017-12-11,Note,9-Year 11-Month,10Y
2017-12-12,Bond,29-Year 11-Month,30Y
2017-12-27,Note,5-Year,5Y
2018-01-10,Note,9-Year 10-Month,10Y
2018-01-11,Bond,29-Year 10-Month,30Y
2018-01-24,Note,5-Year,5Y
2018-02-07,Note,10-Year,10Y
2018-02-08,Bond,30-Year,30Y
2018-02-21,Note,5-Year,5Y
2018-03-12,Note,9-Year 11-Month,10Y
2018-03-13,Bond,29-Year 11-Month,30Y
2018-03-27,Note,5-Year,5Y
2018-04-11,Note,9-Year 10-Month,10Y
2018-04-12,Bond,29-Year 10-Month,30Y
2018-04-25,Note,5-Year,5Y
2018-05-09,Note,10-Year,10Y
2018-05-10,Bond,30-Year,30Y
2018-05-23,Note,5-Year,5Y
2018-06-11,Note,9-Year 11-Month,10Y
2018-06-12,Bond,29-Year 11-Month,30Y
2018-06-27,Note,5-Year,5Y
2018-07-11,Note,9-Year 10-Month,10Y
2018-07-12,Bond,29-Year 10-Month,30Y
2018-07-25,Note,5-Year,5Y
2018-08-08,Note,10-Year,10Y
2018-08-09,Bond,30-Year,30Y
2018-08-28,Note,5-Year,5Y
2018-09-12,Note,9-Year 11-Month,10Y
2018-09-13,Bond,29-Year 11-Month,30Y
2018-09-25,Note,5-Year,5Y
2018-10-10,Note,9-Year 10-Month,10Y
2018-10-11,Bond,29-Year 10-Month,30Y
2018-10-24,Note,5-Year,5Y
2018-11-06,Note,10-Year,10Y
2018-11-07,Bond,30-Year,30Y
2018-11-27,Note,5-Year,5Y
2018-12-12,Note,9-Year 11-Month,10Y
2018-12-13,Bond,29-Year 11-Month,30Y
2018-12-26,Note,5-Year,5Y
2019-01-09,Note,9-Year 10-Month,10Y
2019-01-10,Bond,29-Year 10-Month,30Y
2019-01-28,Note,5-Year,5Y
2019-02-06,Note,10-Year,10Y
2019-02-07,Bond,30-Year,30Y
2019-02-25,Note,5-Year,5Y
2019-03-12,Note,9-Year 11-Month,10Y
2019-03-13,Bond,29-Year 11-Month,30Y
2019-03-27,Note,5-Year,5Y
2019-04-10,Note,9-Year 10-Month,10Y
2019-04-11,Bond,29-Year 10-Month,30Y
2019-04-24,Note,5-Year,5Y
2019-05-08,Note,10-Year,10Y
2019-05-09,Bond,30-Year,30Y
2019-05-28,Note,5-Year,5Y
2019-06-12,Note,9-Year 11-Month,10Y
2019-06-13,Bond,29-Year 11-Month,30Y
2019-06-21,Note,9-Year 11-Month,10Y
2019-06-26,Note,5-Year,5Y
2019-07-10,Note,9-Year 10-Month,10Y
2019-07-11,Bond,29-Year 10-Month,30Y
2019-07-24,Note,5-Year,5Y
2019-08-07,Note,10-Year,10Y
2019-08-08,Bond,30-Year,30Y
2019-08-28,Note,5-Year,5Y
2019-09-11,Note,9-Year 11-Month,10Y
2019-09-12,Bond,29-Year 11-Month,30Y
2019-09-25,Note,5-Year,5Y
2019-10-09,Note,9-Year 10-Month,10Y
2019-10-10,Bond,29-Year 10-Month,30Y
2019-10-23,Note,5-Year,5Y
2019-11-06,Note,10-Year,10Y
2019-11-07,Bond,30-Year,30Y
2019-11-26,Note,5-Year,5Y
2019-12-10,Note,9-Year 11-Month,10Y
2019-12-12,Bond,29-Year 11-Month,30Y
2019-12-24,Note,5-Year,5Y
2020-01-08,Note,9-Year 10-Month,10Y
2020-01-09,Bond,29-Year 10-Month,30Y
2020-01-27,Note,5-Year,5Y
2020-02-12,Note,10-Year,10Y
2020-02-13,Bond,30-Year,30Y
2020-02-26,Note,5-Year,5Y
2020-03-11,Note,9-Year 11-Month,10Y
2020-03-12,Bond,29-Year 11-Month,30Y
2020-03-25,Note,5-Year,5Y
2020-04-07,Note,9-Year 10-Month,10Y
2020-04-08,Bond,29-Year 10-Month,30Y
2020-04-27,Note,5-Year,5Y
2020-05-12,Note,10-Year,10Y
2020-05-13,Bond,30-Year,30Y
2020-05-20,Bond,20-Year,30Y
2020-05-27,Note,5-Year,5Y
2020-06-09,Note,9-Year 11-Month,10Y
2020-06-11,Bond,29-Year 11-Month,30Y
2020-06-17,Bond,19-Year 11-Month,30Y
2020-06-24,Note,5-Year,5Y
2020-07-08,Note,9-Year 10-Month,10Y
2020-07-09,Bond,29-Year 10-Month,30Y
2020-07-22,Bond,19-Year 10-Month,30Y
2020-07-27,Note,5-Year,5Y
2020-08-12,Note,10-Year,10Y
2020-08-13,Bond,30-Year,30Y
2020-08-19,Bond,20-Year,30Y
2020-08-26,Note,5-Year,5Y
2020-09-09,Note,9-Year 11-Month,10Y
2020-09-10,Bond,29-Year 11-Month,30Y
2020-09-15,Bond,19-Year 11-Month,30Y
2020-09-23,Note,5-Year,5Y
2020-10-07,Note,9-Year 10-Month,10Y
2020-10-08,Bond,29-Year 10-Month,30Y
2020-10-21,Bond,19-Year 10-Month,30Y
2020-10-28,Note,5-Year,5Y
2020-11-10,Note,10-Year,10Y
2020-11-12,Bond,30-Year,30Y
2020-11-18,Bond,20-Year,30Y
2020-11-23,Note,5-Year,5Y
2020-12-09,Note,9-Year 11-Month,10Y
2020-12-10,Bond,29-Year 11-Month,30Y
2020-12-21,Bond,19-Year 11-Month,30Y
2020-12-28,Note,5-Year,5Y
2021-01-12,Note,9-Year 10-Month,10Y
2021-01-13,Bond,29-Year 10-Month,30Y
2021-01-20,Bond,19-Year 10-Month,30Y
2021-01-26,Note,5-Year,5Y
2021-02-10,Note,10-Year,10Y
2021-02-11,Bond,30-Year,30Y
2021-02-17,Bond,20-Year,30Y
2021-02-24,Note,5-Year,5Y
2021-03-10,Note,9-Year 11-Month,10Y
2021-03-11,Bond,29-Year 11-Month,30Y
2021-03-16,Bond,19-Year 11-Month,30Y
2021-03-24,Note,5-Year,5Y
2021-04-12,Note,9-Year 10-Month,10Y
2021-04-13,Bond,29-Year 10-Month,30Y
2021-04-21,Bond,19-Year 10-Month,30Y
2021-04-26,Note,5-Year,5Y
2021-05-12,Note,10-Year,10Y
2021-05-13,Bond,30-Year,30Y
2021-05-19,Bond,20-Year,30Y
2021-05-26,Note,5-Year,5Y
2021-06-09,Note,9-Year 11-Month,10Y
2021-06-10,Bond,29-Year 11-Month,30Y
2021-06-15,Bond,19-Year 11-Month,30Y
2021-06-23,Note,5-Year,5Y
2021-07-12,Note,9-Year 10-Month,10Y
2021-07-13,Bond,29-Year 10-Month,30Y
2021-07-21,Bond,19-Year 10-Month,30Y
2021-07-27,Note,5-Year,5Y
2021-08-11,Note,10-Year,10Y
2021-08-12,Bond,30-Year,30Y
2021-08-18,Bond,20-Year,30Y
2021-08-25,Note,5-Year,5Y
2021-09-08,Note,9-Year 11-Month,10Y
2021-09-09,Bond,29-Year 11-Month,30Y
2021-09-21,Bond,19-Year 11-Month,30Y
2021-09-27,Note,5-Year,5Y
2021-10-12,Note,9-Year 10-Month,10Y
2021-10-13,Bond,29-Year 10-Month,30Y
2021-10-20,Bond,19-Year 10-Month,30Y
2021-10-27,Note,5-Year,5Y
2021-11-09,Note,10-Year,10Y
2021-11-10,Bond,30-Year,30Y
2021-11-17,Bond,20-Year,30Y
2021-11-22,Note,5-Year,5Y
2021-12-02,Bond,19-Year 11-Month,30Y
2021-12-08,Note,9-Year 11-Month,10Y
2021-12-09,Bond,29-Year 11-Month,30Y
2021-12-21,Bond,19-Year 11-Month,30Y
2021-12-28,Note,5-Year,5Y
2022-01-12,Note,9-Year 10-Month,10Y
2022-01-13,Bond,29-Year 10-Month,30Y
2022-01-19,Bond,19-Year 10-Month,30Y
2022-01-25,Note,5-Year,5Y
2022-02-09,Note,10-Year,10Y
2022-02-10,Bond,30-Year,30Y
2022-02-16,Bond,20-Year,30Y
2022-02-23,Note,5-Year,5Y
2022-03-09,Note,9-Year 11-Month,10Y
2022-03-10,Bond,29-Year 11-Month,30Y
2022-03-23,Bond,19-Year 11-Month,30Y
2022-03-28,Note,5-Year,5Y
2022-04-12,Note,9-Year 10-Month,10Y
2022-04-13,Bond,29-Year 10-Month,30Y
2022-04-20,Bond,19-Year 10-Month,30Y
2022-04-27,Note,5-Year,5Y
2022-05-11,Note,10-Year,10Y
2022-05-12,Bond,30-Year,30Y
2022-05-18,Bond,20-Year,30Y
2022-05-25,Note,5-Year,5Y
2022-06-08,Note,9-Year 11-Month,10Y
2022-06-09,Bond,29-Year 11-Month,30Y
